,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year. Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy. Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
9797, UST ,1136," 71,371 ",Missing Education,D
,  ,,   ,Bachelor's,726
,  ,,   ,Master's,409
5019, FACEBOOK INC ,1107," 140,758 ",Missing Education,D
,  ,,   ,Bachelor's,370
,  ,,   ,Doctorate,114
,  ,,   ,Master's,620
5091, MIDNTREE LIMITED ,1103," 73,691 ",Bachelor's,804
,  ,,   ,Master's,299
8324, PRICEWATERHOUSECOOPERS LLP ,1050," 82,363 ",Missing Education,D
,  ,,   ,Bachelor's,476
,  ,,   ,Doctorate,D
,  ,,   ,Master's,561
,  ,,   ,Professional Degree,D
9979, CAP GEMINI FINANCIAL SVCS USA INC ,1048," 91,068 ",Bachelor's,679
,  ,,   ,Master's,369
9720, MPHASIS CORPORATION ,1016," 81,750 ",Bachelor's,715
,  ,,   ,Master's,301
1985, IBM CORP ,1006," 115,745 ",Associate Degree,D
,  ,,   ,Bachelor's,329
,  ,,   ,Doctorate,69
,  ,,   ,Master's,600
,  ,,   ,No Diploma,D
,  ,,   ,Professional Degree,D
,  ,,   ,Some College Credits,D
1517, DELOITTE & TOUCHE LLP ,827," 83,295 ",Bachelor's,414
,  ,,   ,Doctorate,D
,  ,,   ,Master's,405
,  ,,   ,Professional Degree,D
8214, PRICEWATERCOOPERS ADVISORY SVCS L ,757," 119,186 ",Bachelor's,276
,  ,,   ,Doctorate,D
,  ,,   ,Master's,474
7166, NTT DATA ENTERPRISE SVCS INC ,746," 91,793 ",Missing Education,D
,  ,,   ,Bachelor's,454
,  ,,   ,Doctorate,D
,  ,,   ,Master's,290
1374, HEXAWARE TECH INC ,711," 76,408 ",Bachelor's,525
,  ,,   ,Master's,186
2018, SYNTEL CONSULTING INC ,701," 93,339 ",Bachelor's,449
,  ,,   ,Doctorate,D
,  ,,   ,High School,D
,  ,,   ,Master's,249
7665, ANC BUS MANAGEMENT LLC ,690," 111,062 ",Bachelor's,256
,  ,,   ,Doctorate,38
,  ,,   ,Master's,395
,  ,,   ,Professional Degree,D
5132, RANDSTAD TECH LP ,653," 105,387 ",Bachelor's,429
,  ,,   ,Doctorate,D
,  ,,   ,Master's,223
4409, WAL MART ASSO INC ,633," 118,327 ",Bachelor's,257
,  ,,   ,Doctorate,22
,  ,,   ,Master's,350
,  ,,   ,Professional Degree,D
,  ,,   ,Some College Credits,D
8880, GOLDMAN SACHS & CO ,596," 126,533 ",Bachelor's,246
,  ,,   ,Doctorate,33
,  ,,   ,Master's,314
,  ,,   ,Professional Degree,D
0693, SALEFORCE COM INC ,587," 138,080 ",Bachelor's,178
,  ,,   ,Doctorate,D
,  ,,   ,Master's,404
7090, CUMMINS ,534," 83,516 ",Bachelor's,124
,  ,,   ,Doctorate,17
,  ,,   ,Master's,393
0389, CAPITAL ONE SERVICES LLC ,516," 107,095 ",Bachelor's,265
,  ,,   ,Doctorate,13
,  ,,   ,Master's,238
0009, EMC CORP ,514," 101,568 ",Bachelor's,182
,  ,,   ,Doctorate,D
,  ,,   ,Master's,325
6945, CSC CONANYS CORPORATION ,497," 78,716 ",Bachelor's,289
,  ,,   ,Master's,208
5207, HAYWARD BAKER INC ,478," 89,108 ",Missing Education,D
,  ,,   ,Bachelor's,165
,  ,,   ,Doctorate,13
,  ,,   ,Master's,297
,  ,,   ,Professional Degree,D
0924, EBAY INC ,472," 139,265 ",Bachelor's,152
,  ,,   ,Doctorate,10
,  ,,   ,Master's,307
,  ,,   ,Professional Degree,D
,  ,,   ,Some College Credits,D
7441, UBER TECHNOLOGIES INC ,466," 130,856 ",Bachelor's,98
,  ,,   ,Doctorate,45
,  ,,   ,Master's,323
3497, AM EXPRESS RELATED SVCS CO INC ,459," 108,374 ",Bachelor's,290
,  ,,   ,Doctorate,D
,  ,,   ,Master's,167
6778, CGI TECH & SOLNS INC ,449," 87,386 ",Bachelor's,254
,  ,,   ,Master's,195
7984, BLOOMBERG LP ,444," 142,999 ",Bachelor's,116
,  ,,   ,Doctorate,41
,  ,,   ,Master's,287
2959, CAPGEMINI U S LLC ,440," 106,899 ",Missing Education,D
,  ,,   ,Bachelor's,328
,  ,,   ,Master's,111
7033, SYNECHORN INC ,415," 89,175 ",Associate Degree,D
,  ,,   ,Bachelor's,261
,  ,,   ,High School,D
,  ,,   ,Master's,150
,  ,,   ,Some College Credits,D
9337, HCL CLOBAL SYSTEMS INC ,410," 92,050 ",Bachelor's,119
,  ,,   ,Master's,291
7549, NVIDIA CORPORATION ,396," 138,210 ",Bachelor's,109
,  ,,   ,Doctorate,25
,  ,,   ,Master's,262
2023, LINKEDIN CORP ,374," 150,139 ",Bachelor's,99
,  ,,   ,Doctorate,30
,  ,,   ,Master's,244
,  ,,   ,Professional Degree,D
8624, HEWETT PACKARD ENTERPRISE COMPANY ,374," 120,113 ",Associate Degree,D
,  ,,   ,Bachelor's,136
,  ,,   ,Doctorate,12
,  ,,   ,Master's,225
0487, BILL ME LATER INC ,372," 137,928 ",Missing Education,D
,  ,,   ,Bachelor's,137
,  ,,   ,Doctorate,D
,  ,,   ,High School,D
,  ,,   ,Master's,224
,  ,,   ,Some College Credits,D
6365, STANFORD UNIV/SLAC NATL ACCELERA ,372," 79,588 ",Bachelor's,35
,  ,,   ,Doctorate,275
,  ,,   ,Master's,45
,  ,,   ,Professional Degree,17
1325, POLARIS CONS & SVCS LTD FKA POLAR ,367," 74,112 ",Bachelor's,200
,  ,,   ,Master's,167
6583, HCL GLOBAL SVCS INC ,366," 80,891 ",Bachelor's,241
,  ,,   ,Master's,125
4954, PERSISTENT SYSTEMS INC ,351," 92,349 ",Bachelor's,274
,  ,,   ,Master's,77
2913, VMWARE ,341," 130,755 ",Bachelor's,89
,  ,,   ,Doctorate,D
,  ,,   ,Master's,243
6309, UNIV OF MI ,326," 63,454 ",Bachelor's,14
,  ,,   ,Doctorate,250
,  ,,   ,Master's,41
,  ,,   ,Professional Degree,21
4661, K FORCE INC ,319," 98,595 ",Bachelor's,178
,  ,,   ,Doctorate,D
,  ,,   ,Master's,140
4017, KPIT INFO SYSTEMS INC ,317," 97,356 ",Bachelor's,235
,  ,,   ,Master's,80
,  ,,   ,Some College Credits,D
7105, COMPUNEL SOFTWARE GROUP INC ,315," 73,077 ",Bachelor's,164
,  ,,   ,Master's,151
8689, YAHOO INC ,311," 127,624 ",Bachelor's,105
,  ,,   ,Doctorate,D
,  ,,   ,High School,D
,  ,,   ,Master's,198
4484, A2Z DEVELOPMENT CTR INC D/B/A LA ,310," 131,408 ",Missing Education,D
,  ,,   ,Bachelor's,76
,  ,,   ,Doctorate,D
,  ,,   ,Master's,225
,  ,,   ,Professional Degree,D
6805, DELL MARKETING ,307," 95,093 ",Bachelor's,173
,  ,,   ,Master's,134
2643, V SOFT CONSULTING GROUP INC ,307," 86,301 ",Missing Education,D
,  ,,   ,Bachelor's,99
,  ,,   ,Master's,207
5110, JOHN HOPKINS UNIV ,305," 71,966 ",Bachelor's,D
,  ,,   ,Doctorate,203
,  ,,   ,Master's,45
,  ,,   ,Professional Degree,54
2883, VIRTUSA CORP ,303," 124,318 ",Bachelor's,209
,  ,,   ,Master's,94
8068, AMAZON CORPORATE LLC ,301," 107,522 ",Bachelor's,93
,  ,,   ,Doctorate,D
,  ,,   ,Master's,201
9960, ERICSON INC ,299," 100,885 ",Bachelor's,96
,  ,,   ,Doctorate,D
,  ,,   ,Master's,201
9021, POPULUS GROUP LLC ,299," 90,876 ",Missing Education,D
,  ,,   ,Bachelor's,126
,  ,,   ,Doctorate,D
,  ,,   ,Master's,166
,  ,,   ,Professional Degree,D
6161, MCKINSEY & CO IN UNITED STATES ,297," 131,940 ",Bachelor's,84
,  ,,   ,Doctorate,24
,  ,,   ,Master's,187
,  ,,   ,Professional Degree,D
4773, BIRALSOFT INC ,296," 76,686 ",Bachelor's,155
,  ,,   ,Master's,141
6944, CERNER CORP ,291," 79,928 ",Bachelor's,18
,  ,,   ,Master's,273
7496, CYIENT INC ,282," 68,849 ",Associate Degree,D
,  ,,   ,Bachelor's,198
,  ,,   ,Master's,75
,  ,,   ,Some College Credits,D
0235, MATHWORKS INC ,277," 93,073 ",Bachelor's,27
,  ,,   ,Doctorate,44
,  ,,   ,Master's,206
4661, INTUIT INC ,274," 129,696 ",Bachelor's,103
,  ,,   ,Doctorate,D
,  ,,   ,Master's,169
0018, INOVANT LLC ,273," 120,811 ",Bachelor's,150
,  ,,   ,Doctorate,D
,  ,,   ,Master's,122
0482, BROADCOM CORP ,270," 159,085 ",Bachelor's,69
,  ,,   ,Doctorate,21
,  ,,   ,Master's,180
8884, ERP ANALYST INC ,269," 69,787 ",Bachelor's,106
,  ,,   ,Master's,163
3746, ZENSAR TECHNOLOGIES ,264," 86,513 ",Bachelor's,138
,  ,,   ,Master's,126
3600, T MOBILE USA INC ,261," 108,565 ",Associate Degree,D
,  ,,   ,Bachelor's,106
,  ,,   ,Doctorate,D
,  ,,   ,Master's,152
4085, MERRILL LYNCH ,259," 130,793 ",Bachelor's,108
,  ,,   ,Doctorate,D
,  ,,   ,Master's,140
,  ,,   ,Professional Degree,D
7729, TELSA MOTORS INC ,255," 108,901 ",Bachelor's,111
,  ,,   ,Doctorate,D
,  ,,   ,Master's,137
,  ,,   ,Professional Degree,D
8462, RELIABLE SOFTWARE RESOURCE INC ,253," 64,090 ",Missing Education,D
,  ,,   ,Bachelor's,63
,  ,,   ,Master's,189
9522, ADOBE SYSTEMS INCORPORATED ,253," 133,565 ",Bachelor's,94
,  ,,   ,Doctorate,D
,  ,,   ,Master's,150
,  ,,   ,Some College Credits,D
5772, DELOITTE TAX LLP ,253," 76,574 ",Bachelor's,152
,  ,,   ,Doctorate,D
,  ,,   ,Master's,95
,  ,,   ,Professional Degree,D
3200, COLLEGE OF AG & TECH AT MORRISVIL ,252," 74,018 ",Bachelor's,D
,  ,,   ,Doctorate,172
,  ,,   ,Master's,35
,  ,,   ,Professional Degree,39
4585, CLEVELAND CLINC ,251," 92,087 ",Missing Education,D
,  ,,   ,Bachelor's,D
,  ,,   ,Doctorate,40
,  ,,   ,Master's,23
,  ,,   ,Professional Degree,183
0511, UNIV OF IL AT CHICAGO ,248," 80,180 ",Bachelor's,D
,  ,,   ,Doctorate,152
,  ,,   ,Master's,31
,  ,,   ,Professional Degree,57
6470, CITIBANK N A ,247," 114,673 ",Bachelor's,85
,  ,,   ,Doctorate,12
,  ,,   ,Master's,150
2528, JUNIPER NETWORKS INC ,242," 120,669 ",Bachelor's,86
,  ,,   ,Doctorate,D
,  ,,   ,Master's,153
,  ,,   ,Professional Degree,D
6650, CREDIT SUISSE SECURITIES USA LLC ,240," 124,740 ",Bachelor's,110
,  ,,   ,Doctorate,D
,  ,,   ,Master's,123
,  ,,   ,Professional Degree,D
0547, NIIT TECH LTD ,240," 76,086 ",Bachelor's,142
,  ,,   ,Master's,98
2033, BALTIMORE CITY COMMUNITY COLLEGE ,240," 74,411 ",Bachelor's,10
,  ,,   ,Doctorate,189
,  ,,   ,Master's,32
,  ,,   ,Professional Degree,D
6287, MARLABS INC ,239," 71,084 ",Bachelor's,69
,  ,,   ,Doctorate,D
,  ,,   ,Master's,169
6083, EXPEDIA INC ,233," 111,234 ",Bachelor's,82
,  ,,   ,Doctorate,D
,  ,,   ,Master's,149
3134, SYSTEM SOFT TECHNOLOGIES ,229," 87,642 ",Bachelor's,87
,  ,,   ,Master's,142
5755, COMCAST CABLE COMMS LLC ,228," 110,649 ",Associate Degree,D
,  ,,   ,Bachelor's,102
,  ,,   ,Doctorate,D
,  ,,   ,Master's,121
,  ,,   ,Some College Credits,D
3126, COMP SCI CORPORATION ,225," 75,515 ",Bachelor's,144
,  ,,   ,Master's,81
1702, MAYO CLINIC ,224," 127,610 ",Bachelor's,13
,  ,,   ,Doctorate,84
,  ,,   ,Master's,25
,  ,,   ,Professional Degree,102
4235, BALTIMORE CITY OF PUBLIC SCHOOLS ,224," 80,133 ",Bachelor's,84
,  ,,   ,Doctorate,10
,  ,,   ,Master's,130
2685, UNIV OF PA ,222," 68,756 ",Bachelor's,18
,  ,,   ,Doctorate,137
,  ,,   ,Master's,33
,  ,,   ,Professional Degree,34
4941, FUJITSU AMERICA INC ,221," 83,689 ",Bachelor's,135
,  ,,   ,Master's,86
9950, EPIC SYSTEM CORP ,219," 108,178 ",Bachelor's,66
,  ,,   ,Doctorate,10
,  ,,   ,Master's,143
1169, TECHNOSOFT CORPORATION ,218," 80,055 ",Bachelor's,133
,  ,,   ,Master's,85
6960, NAL INSTITUTES OF HLTH/HHS ,218," 74,287 ",Doctorate,203
,  ,,   ,Professional Degree,15
6490, HATCHI CONSULTING CORPORATION ,217," 92,838 ",Bachelor's,154
,  ,,   ,Master's,63
8093, COLUMBIA UNIV ,215," 79,177 ",Bachelor's,D
,  ,,   ,Doctorate,149
,  ,,   ,Master's,39
,  ,,   ,Professional Degree,20
3222, GEN MOTORS CO ,215," 100,031 ",Bachelor's,65
,  ,,   ,Doctorate,17
,  ,,   ,Master's,131
,  ,,   ,Professional Degree,D
,  ,,   ,Some College Credits,D
6493, UCSF MEDICAL CENTER ,214," 77,181 ",Bachelor's,D
,  ,,   ,Doctorate,165
,  ,,   ,Master's,17
,  ,,   ,Professional Degree,28
7520, NETAPP INC ,212," 113,137 ",Missing Education,D
,  ,,   ,Bachelor's,52
,  ,,   ,Doctorate,D
,  ,,   ,Master's,157
3911, GENPACT LLC ,211," 88,554 ",Bachelor's,130
,  ,,   ,Master's,81
5998, MORGAN STANLEY & CO LLC ,210," 128,914 ",Bachelor's,74
,  ,,   ,Doctorate,15
,  ,,   ,Master's,117
,  ,,   ,Professional Degree,D
0648, SAPIENT CORPORATION ,209," 110,677 ",Bachelor's,127
,  ,,   ,Master's,82
8857, ALALCATEL LUCENT USA INC DBA NOK ,209," 113,358 ",Bachelor's,71
,  ,,   ,Doctorate,D
,  ,,   ,Master's,135
,  ,,   ,Some College Credits,D
2170, CAPITAL ONE SERVICES II LLC ,209," 110,285 ",Bachelor's,106
,  ,,   ,Doctorate,D
,  ,,   ,Master's,97
1560, AVCO CONSULTING INC ,207," 73,070 ",Bachelor's,32
,  ,,   ,Master's,175
3525, COLLABERA INC ,206," 64,725 ",Associate Degree,D
,  ,,   ,Bachelor's,124
,  ,,   ,Master's,81
3452, 3 I INFOTECH INC ,206," 65,559 ",Bachelor's,79
,  ,,   ,Master's,125
,  ,,   ,Professional Degree,D
2148, SEAR HOLDINGS MANAGEMENT CORP ,205," 107,652 ",Bachelor's,78
,  ,,   ,Doctorate,D
,  ,,   ,Master's,120
5715, ANTHEM INC ,203," 100,501 ",Bachelor's,102
,  ,,   ,Doctorate,D
,  ,,   ,Master's,99
0623, VEDICSOFT ,203," 70,130 ",Bachelor's,83
,  ,,   ,Master's,120
1864, DIRECTV LLC ,201," 123,139 ",Bachelor's,70
,  ,,   ,Doctorate,D
,  ,,   ,Master's,129
2798, AMERICA AIRLINES INC ,200," 96,173 ",Bachelor's,63
,  ,,   ,Doctorate,D
,  ,,   ,Master's,131
8004, MICRO TECH INC ,200," 96,241 ",Bachelor's,28
,  ,,   ,Doctorate,45
,  ,,   ,Master's,127
0555, UNIV OF CO ,200," 68,809 ",Missing Education,D
,  ,,   ,Bachelor's,D
,  ,,   ,Doctorate,134
,  ,,   ,Master's,36
,  ,,   ,Professional Degree,21
,  ,,   ,Some College Credits,D
3382, MASTECH INC ,198," 101,242 ",Bachelor's,132
,  ,,   ,Master's,66
3754, ITECH US INC ,197," 89,784 ",Bachelor's,59
,  ,,   ,Master's,138
6973, YALE UNIV ,196," 77,610 ",Missing Education,D
,  ,,   ,Bachelor's,D
,  ,,   ,Doctorate,157
,  ,,   ,Master's,13
,  ,,   ,Professional Degree,22
5579, COLLABORATE SOLUTIONS INC ,196," 72,603 ",Bachelor's,16
,  ,,   ,Master's,180
7513, UNIV OF MINNESOTA ,196," 63,473 ",Bachelor's,D
,  ,,   ,Doctorate,143
,  ,,   ,Master's,29
,  ,,   ,Professional Degree,18
2655, AT&T SERVICES INC ,196," 115,602 ",Bachelor's,71
,  ,,   ,Doctorate,23
,  ,,   ,Master's,102
5570, QUALCOMM ATHEROS INC ,196," 120,999 ",Bachelor's,56
,  ,,   ,Doctorate,D
,  ,,   ,Master's,131
1761, NATSOFT CORP ,195," 70,169 ",Bachelor's,70
,  ,,   ,Master's,125
4621, EXILANT TECH PRIVATE LIMITED ,192," 90,797 ",Bachelor's,144
,  ,,   ,Master's,48
6236, SYNOPSIS INC ,190," 119,147 ",Missing Education,D
,  ,,   ,Bachelor's,59
,  ,,   ,Doctorate,19
,  ,,   ,Master's,111
6802, DELL MARKETING LP ,190," 105,271 ",Bachelor's,73
,  ,,   ,Master's,117
6492, UNIV OF WI GREEN BAY ,189," 65,461 ",Bachelor's,D
,  ,,   ,Doctorate,152
,  ,,   ,Master's,15
,  ,,   ,Professional Degree,17
5219, VERIZON DATA LLC ,188," 105,744 ",Bachelor's,75
,  ,,   ,Doctorate,D
,  ,,   ,Master's,111
7939, SKL AMERICA INC ,187," 77,536 ",Bachelor's,143
,  ,,   ,Master's,44
9838, INTONE NETWORKS INC ,185," 81,026 ",Bachelor's,25
,  ,,   ,Doctorate,D
,  ,,   ,Master's,158
6614, FIRST TEK INC ,185," 67,114 ",Bachelor's,62
,  ,,   ,Master's,123
2131, GLOBAL FOUNDRIES U S INC ,183," 99,644 ",Bachelor's,11
,  ,,   ,Doctorate,68
,  ,,   ,Master's,104
1392, ECLINICAL WORKS LLC ,182," 80,777 ",Bachelor's,33
,  ,,   ,Master's,149
3258, PERFICIENT INC ,182," 99,408 ",Bachelor's,86
,  ,,   ,Master's,96
9340, GE CO GE GLOBAL RESEARCH CENTER ,181," 129,188 ",Bachelor's,79
,  ,,   ,Doctorate,24
,  ,,   ,Master's,78
6833, CIBER INC ,179," 100,395 ",Bachelor's,104
,  ,,   ,Master's,75
0183, ORACLE FIN SERVICES SOFTWARE INC ,178," 95,357 ",Bachelor's,120
,  ,,   ,Master's,58
2284, BRIDGEWATER STATE UNIV ,176," 61,909 ",Bachelor's,16
,  ,,   ,Doctorate,116
,  ,,   ,Master's,28
,  ,,   ,Professional Degree,16
4236, MEMORIAL SLOAN KETTERING CANCER C ,175," 77,797 ",Bachelor's,15
,  ,,   ,Doctorate,76
,  ,,   ,Master's,50
,  ,,   ,Professional Degree,34
1673, IN UNIV ,174," 61,600 ",Bachelor's,D
,  ,,   ,Doctorate,110
,  ,,   ,Master's,37
,  ,,   ,Professional Degree,23
7731, AIG EMPLOYEE SERVICES INC ,173," 111,882 ",Bachelor's,91
,  ,,   ,Master's,81
,  ,,   ,Professional Degree,D
7139, THE UNIV OF CHICAGO ,172," 58,839 ",Missing Education,D
,  ,,   ,Bachelor's,21
,  ,,   ,Doctorate,108
,  ,,   ,Master's,37
,  ,,   ,Professional Degree,D
9852, ZS ASSO INC ,172," 95,223 ",Bachelor's,139
,  ,,   ,Master's,33
3454, OPTUM SERVICES INC ,171," 99,427 ",Missing Education,D
,  ,,   ,Bachelor's,79
,  ,,   ,Doctorate,D
,  ,,   ,Master's,89
,  ,,   ,Professional Degree,D
5152, CITRIX SYSTEMS INC ,171," 113,166 ",Bachelor's,54
,  ,,   ,Doctorate,D
,  ,,   ,Master's,116
5984, MI STATE UNIV ,170," 73,661 ",Bachelor's,14
,  ,,   ,Doctorate,124
,  ,,   ,Master's,26
,  ,,   ,Professional Degree,D
6256, EMORY UNIV ,169," 70,797 ",Missing Education,D
,  ,,   ,Bachelor's,D
,  ,,   ,Doctorate,95
,  ,,   ,Master's,19
,  ,,   ,Professional Degree,46
9487, AMDOCS INC ,168," 97,879 ",Bachelor's,97
,  ,,   ,Master's,71
8231, CADENCE DESIGN SYSTEMS INC ,167," 123,436 ",Bachelor's,49
,  ,,   ,Doctorate,15
,  ,,   ,Master's,103
3878, BAYLOR COLLEGE OF MED ,166," 75,643 ",Missing Education,D
,  ,,   ,Bachelor's,D
,  ,,   ,Doctorate,83
,  ,,   ,Master's,43
,  ,,   ,Professional Degree,34
8920, INTEL CORP ,165," 116,914 ",Bachelor's,30
,  ,,   ,Doctorate,24
,  ,,   ,Master's,111
6847, MIRACLE SOFTWARE SYSS INC ,164," 84,644 ",Bachelor's,67
,  ,,   ,Master's,97
7817, NORTHWESTERN UNIV ,163," 65,521 ",Bachelor's,D
,  ,,   ,Doctorate,128
,  ,,   ,Master's,24
,  ,,   ,Professional Degree,D
3611, WA UNIV IN ST LOUIS ,163," 80,021 ",Missing Education,D
,  ,,   ,Bachelor's,D
,  ,,   ,Doctorate,94
,  ,,   ,Master's,21
,  ,,   ,Professional Degree,43
3580, HARVARD UNIV ,161," 81,659 ",Bachelor's,D
,  ,,   ,Doctorate,140
,  ,,   ,Master's,17
,  ,,   ,Professional Degree,D
0899, TARGET ENTERPRISE INC ,161," 118,129 ",Bachelor's,89
,  ,,   ,Doctorate,D
,  ,,   ,Master's,68
2052, UNIV FLORIDA ,160," 102,225 ",Bachelor's,D
,  ,,   ,Doctorate,81
,  ,,   ,Master's,17
,  ,,   ,Professional Degree,61
9591, ORION SYSS INTEGRATORS LLC ,158," 95,681 ",Bachelor's,77
,  ,,   ,Master's,81
9960, VERITAS TECHNOLOGIES INC ,156," 117,434 ",Bachelor's,72
,  ,,   ,Master's,84
1278, DALLAS INDEPENDENCE SCHOOL DIST ,156," 51,224 ",Missing Education,D
,  ,,   ,Bachelor's,106
,  ,,   ,Doctorate,D
,  ,,   ,Master's,41
,  ,,   ,Professional Degree,D
