State,total energy,Sources ,,,,,,,,End-Use Sectors a,,,
Michigan,"2,767.30",617.3,872.2,843.6,"2,333.10",306.8,201.9,-102.7,28.3,719.2,597.8,711.3,739
Minnesota,"1,769.90",271.6,448.6,568,"1,288.10",125.9,256.1,72.7,27,373.4,350.1,605.6,440.9
Mississippi,"1,132.70",71.6,534.1,430.6,"1,036.30",122.5,72.5,-98.6,0,199.7,158.2,389.1,385.7
Missouri,"1,826.80",696.4,270.9,619.4,"1,586.70",109.2,95.9,35,0,501.7,415.8,358.8,550.5
Montana,391.4,178.4,74.6,166.6,419.7,0,119.9,-147.5,-0.6,80.5,75,124.8,111.2
Nebraska,853.1,266.3,170.3,236.1,672.8,108,158.4,-86,0,148.1,137.1,366.9,201
Nevada,649.5,36.6,312.6,220.5,569.7,0,84.8,-5,(s),151.3,124.4,163.4,210.5
New Hampshire,305.2,11,70.8,150,231.8,99.2,58.8,-85.3,0.8,93.8,70.9,40.6,99.9
New Jersey,"2,287.70",22.9,778.8,980,"1,781.70",347.9,85.3,72,0.8,587.8,597.4,250.8,851.7
New Mexico,675.6,215.7,260,238.1,713.9,0,44.2,-82.5,(s),114.5,124.9,224.6,211.6
New York,"3,724.50",41.2,"1,397.40","1,301.30","2,740.00",466.5,414.8,44.3,59,"1,115.40","1,138.80",393.5,"1,076.70"
North Carolina,"2,523.70",405.5,516,792.3,"1,713.80",440.2,202.4,167.3,0,693.5,587,545,698.3
North Dakota,607.6,408.1,98.4,194.1,700.7,0,110.7,-210.6,6.8,69.5,85.8,315.9,136.3
Ohio,"3,740.80",865.7,"1,034.00","1,129.90","3,029.60",181.7,141.3,388.2,0,890.3,709.5,"1,204.40",936.7
Oklahoma,"1,630.90",280.7,712.4,533.6,"1,526.70",0,197.1,-92.9,0,294.4,257.9,598.8,479.8
Oregon,956.7,26.5,244.8,325.9,597.2,0,434,-81.7,7.1,224.2,184,248.6,299.9
Pennsylvania,"3,881.40",878.8,"1,344.70","1,174.00","3,397.60",842,201.5,-561.6,1.8,933.5,657.4,"1,400.70",889.8
Rhode Island,202.7,0,96.5,87.1,183.6,0,7.4,11.1,0.6,67.3,49.5,24.4,61.5
South Carolina,"1,648.50",241.2,282.2,510.3,"1,033.70",555.9,141.6,-82.7,0,364.4,275.5,544.5,464.2
South Dakota,383.5,19.6,83.3,115,217.9,0,132.5,33.1,0,65.7,63.2,154.5,100.1
Tennessee,"2,167.50",370.6,322.4,685.3,"1,378.30",261,188.7,339.4,0,534,448.3,571.5,613.7
Texas,"12,897.60","1,340.40","4,267.40","6,182.60","11,790.50",411.6,651.3,45.2,-0.9,"1,696.30","1,592.40","6,458.50","3,150.30"
Utah,791,330,240.9,276.4,847.4,0,30.5,-86.9,0.1,156.4,161.8,224.3,248.5
Vermont,132,0,12.2,82,94.2,0,32.9,-31.9,36.8,38.6,26.6,17.7,49.1
Virginia,"2,367.70",232.4,525.1,771.3,"1,528.80",293.5,163.3,382.1,0,610.6,615.2,445.5,696.5
Washington,"1,988.40",58.3,328,745.3,"1,131.50",85.3,873.3,-90.5,-11.3,442.8,367.9,554.6,623
West Virginia,774.9,730.9,192.8,188.5,"1,112.20",0,51.5,-388.8,0,167.1,114.1,313.1,180.5
Wisconsin,"1,776.20",408.2,477,529.9,"1,415.10",104.7,167.3,89.2,0,404.4,362.1,573.2,436.5
Wyoming,523.8,487.2,147,160.1,794.3,0,48.4,-319,(s),44.6,62.3,303.6,113.3
United States,"97,251.00","15,549.00","28,185.00","35,718.30","79,434.50","8,336.90","9,252.80",0,226.8,"20,485.80","18,108.70",,
